#LIBRARY    ENDF/B-VIII.0
#REACTION   IN-115(N,P)CD-115,SIG
#NUCLEUS    In-115
#MF         3
#MT         103
#EN-MIN     1e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E+06       0            Lin-Lin
 2E+06       1.13377E-19  Lin-Lin
 3E+06       7.55305E-16  Lin-Lin
 3.7697E+06  6.0367E-13   Lin-Lin
 4E+06       4.36199E-12  Lin-Lin
 4.27224E+06 4.50692E-11  Lin-Lin
 4.3403E+06  8.08033E-11  Lin-Lin
 4.35306E+06 9.01508E-11  Lin-Lin
 4.36502E+06 9.98938E-11  Lin-Lin
 4.37335E+06 1.07288E-10  Lin-Lin
 4.38133E+06 1.14888E-10  Lin-Lin
 4.39153E+06 1.2539E-10   Lin-Lin
 4.40108E+06 1.36106E-10  Lin-Lin
 4.41005E+06 1.46982E-10  Lin-Lin
 4.41845E+06 1.57966E-10  Lin-Lin
 4.42633E+06 1.69009E-10  Lin-Lin
 4.43717E+06 1.85488E-10  Lin-Lin
 4.44712E+06 2.02018E-10  Lin-Lin
 4.45606E+06 2.18114E-10  Lin-Lin
 4.46426E+06 2.34009E-10  Lin-Lin
 4.47429E+06 2.55028E-10  Lin-Lin
 4.48306E+06 2.74962E-10  Lin-Lin
 4.49074E+06 2.93679E-10  Lin-Lin
 4.5004E+06  3.19042E-10  Lin-Lin
 4.50848E+06 3.41945E-10  Lin-Lin
 4.51748E+06 3.69391E-10  Lin-Lin
 4.52712E+06 4.01246E-10  Lin-Lin
 4.5358E+06  4.32258E-10  Lin-Lin
 4.54448E+06 4.65667E-10  Lin-Lin
 4.5551E+06  5.09429E-10  Lin-Lin
 4.5655E+06  5.56264E-10  Lin-Lin
 4.57563E+06 6.06023E-10  Lin-Lin
 4.58555E+06 6.59059E-10  Lin-Lin
 4.59521E+06 7.1518E-10   Lin-Lin
 4.60468E+06 7.74763E-10  Lin-Lin
 4.61389E+06 8.37572E-10  Lin-Lin
 4.62292E+06 9.04007E-10  Lin-Lin
 4.63171E+06 9.73784E-10  Lin-Lin
 4.64032E+06 1.04733E-09  Lin-Lin
 4.64871E+06 1.1243E-09   Lin-Lin
 4.65692E+06 1.20516E-09  Lin-Lin
 4.66228E+06 1.26105E-09  Lin-Lin
 4.67283E+06 1.37878E-09  Lin-Lin
 4.68306E+06 1.50331E-09  Lin-Lin
 4.69296E+06 1.63465E-09  Lin-Lin
 4.70256E+06 1.77283E-09  Lin-Lin
 4.71185E+06 1.91781E-09  Lin-Lin
 4.72086E+06 2.06956E-09  Lin-Lin
 4.72958E+06 2.22801E-09  Lin-Lin
 4.73803E+06 2.39307E-09  Lin-Lin
 4.74622E+06 2.56462E-09  Lin-Lin
 4.75415E+06 2.74254E-09  Lin-Lin
 4.76183E+06 2.92665E-09  Lin-Lin
 4.77288E+06 3.21328E-09  Lin-Lin
 4.78347E+06 3.51434E-09  Lin-Lin
 4.79351E+06 3.82591E-09  Lin-Lin
 4.80314E+06 4.15046E-09  Lin-Lin
 4.81227E+06 4.48369E-09  Lin-Lin
 4.82102E+06 4.8282E-09   Lin-Lin
 4.82933E+06 5.17938E-09  Lin-Lin
 4.83728E+06 5.53995E-09  Lin-Lin
 4.84746E+06 6.03751E-09  Lin-Lin
 4.85699E+06 6.54448E-09  Lin-Lin
 4.86593E+06 7.05836E-09  Lin-Lin
 4.87431E+06 7.57671E-09  Lin-Lin
 4.88216E+06 8.09718E-09  Lin-Lin
 4.89309E+06 8.88122E-09  Lin-Lin
 4.9029E+06  9.64979E-09  Lin-Lin
 4.91191E+06 1.04134E-08  Lin-Lin
 4.91742E+06 1.09097E-08  Lin-Lin
 4.92774E+06 1.19049E-08  Lin-Lin
 4.93677E+06 1.285E-08    Lin-Lin
 4.94468E+06 1.37383E-08  Lin-Lin
 4.95462E+06 1.49433E-08  Lin-Lin
 4.96294E+06 1.60326E-08  Lin-Lin
 4.9722E+06  1.73395E-08  Lin-Lin
 4.97915E+06 1.83891E-08  Lin-Lin
 4.98958E+06 2.00839E-08  Lin-Lin
 5E+06       2.19348E-08  Lin-Lin
 5.01169E+06 2.38831E-08  Lin-Lin
 5.02326E+06 2.59815E-08  Lin-Lin
 5.03467E+06 2.82333E-08  Lin-Lin
 5.04597E+06 3.06538E-08  Lin-Lin
 5.05712E+06 3.32462E-08  Lin-Lin
 5.06816E+06 3.60275E-08  Lin-Lin
 5.07905E+06 3.90007E-08  Lin-Lin
 5.08982E+06 4.21845E-08  Lin-Lin
 5.10046E+06 4.55817E-08  Lin-Lin
 5.11099E+06 4.92128E-08  Lin-Lin
 5.12138E+06 5.30803E-08  Lin-Lin
 5.13166E+06 5.72067E-08  Lin-Lin
