TENDL-2017 Nuclear data library
# n + 115In   : (n,p)             Total
# Q-value    =-6.69514E-01
# E-threshold= 6.75391E-01
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-11 0.00000E+00 0.00000E+00 0.00000E+00
 2.53000E-08 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 9.50000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-05 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+00 2.60386E-15 0.00000E+00 0.00000E+00
 1.60000E+00 8.96889E-13 0.00000E+00 0.00000E+00
 1.80000E+00 9.28954E-11 9.22575E-13 1.00000E+00
 2.00000E+00 3.72769E-09 1.10975E-10 9.99999E-01
 2.20000E+00 6.02484E-08 4.03599E-09 9.99997E-01
 2.40000E+00 5.08069E-07 6.24551E-08 9.99995E-01
 2.60000E+00 2.84047E-06 5.41762E-07 9.99993E-01
 2.80000E+00 1.18626E-05 3.09096E-06 9.99991E-01
 3.00000E+00 4.06271E-05 1.30365E-05 9.99990E-01
 3.20000E+00 1.12357E-04 4.51099E-05 9.99987E-01
 3.40000E+00 2.62508E-04 1.23425E-04 9.99984E-01
 3.60000E+00 5.45399E-04 2.91708E-04 9.99981E-01
 3.80000E+00 1.03350E-03 6.20636E-04 9.99976E-01
 4.00000E+00 1.81259E-03 1.21109E-03 9.99971E-01
 4.20000E+00 2.98716E-03 2.20828E-03 9.99966E-01
 4.40000E+00 4.67262E-03 3.81063E-03 9.99960E-01
 4.60000E+00 7.00574E-03 6.28851E-03 9.99955E-01
 4.80000E+00 1.01248E-02 9.96929E-03 9.99949E-01
 5.00000E+00 1.42676E-02 1.52955E-02 9.99943E-01
 5.20000E+00 1.96431E-02 2.29517E-02 9.99938E-01
 5.40000E+00 2.69905E-02 3.42895E-02 9.99934E-01
 5.60000E+00 3.49344E-02 4.80996E-02 9.99928E-01
 5.80000E+00 4.71869E-02 6.82679E-02 9.99926E-01
 6.00000E+00 5.97672E-02 9.45772E-02 9.99922E-01
 6.20000E+00 7.34415E-02 1.24536E-01 9.99916E-01
 6.40000E+00 9.84592E-02 1.72277E-01 9.99918E-01
 6.60000E+00 1.22219E-01 2.28770E-01 9.99916E-01
 6.80000E+00 1.56438E-01 2.95590E-01 9.99917E-01
 7.00000E+00 1.90233E-01 3.85056E-01 9.99915E-01
 7.20000E+00 2.26103E-01 4.82357E-01 9.99912E-01
 7.40000E+00 2.89804E-01 6.19667E-01 9.99916E-01
 7.60000E+00 3.51385E-01 7.86490E-01 9.99916E-01
 7.80000E+00 4.32104E-01 9.65699E-01 9.99918E-01
 8.00000E+00 5.06835E-01 1.19565E+00 9.99916E-01
 8.50000E+00 7.70714E-01 1.93433E+00 9.99915E-01
 9.00000E+00 1.12318E+00 2.98763E+00 9.99914E-01
 9.50000E+00 1.57519E+00 4.42201E+00 9.99912E-01
 1.00000E+01 2.13475E+00 6.30441E+00 9.99909E-01
 1.05000E+01 2.80250E+00 8.69121E+00 9.99904E-01
 1.10000E+01 3.58359E+00 1.16278E+01 9.99899E-01
 1.15000E+01 4.47386E+00 1.51444E+01 9.99894E-01
 1.20000E+01 5.45430E+00 1.92276E+01 9.99886E-01
 1.25000E+01 6.49932E+00 2.37405E+01 9.99878E-01
 1.30000E+01 7.57382E+00 2.85709E+01 9.99870E-01
