TENDL-2017 Nuclear data library
# n +  89Y : Production of  87Y  - Total
# Q-value    =-2.08326E+01 mass=  86.910876
# E-threshold= 2.10690E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 7.40000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 3.70000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.10000E+01 0.00000E+00
 2.20000E+01 6.13918E+00
 2.30000E+01 4.56944E+01
 2.40000E+01 1.26116E+02
 2.50000E+01 2.27118E+02
 2.60000E+01 3.42960E+02
 2.70000E+01 4.34103E+02
 2.80000E+01 5.06811E+02
 2.90000E+01 5.59855E+02
 3.00000E+01 5.97154E+02
 3.20000E+01 6.32901E+02
 3.40000E+01 6.28937E+02
 3.60000E+01 5.80598E+02
 3.80000E+01 4.94974E+02
 4.00000E+01 4.01174E+02
 4.20000E+01 3.24683E+02
 4.40000E+01 2.69176E+02
 4.60000E+01 2.29852E+02
 4.80000E+01 2.03058E+02
 5.00000E+01 1.84254E+02
 5.20000E+01 1.69607E+02
 5.40000E+01 1.59026E+02
 5.60000E+01 1.49336E+02
 5.80000E+01 1.41245E+02
 6.00000E+01 1.35059E+02
 6.50000E+01 1.24123E+02
 7.00000E+01 1.16283E+02
 7.50000E+01 1.09273E+02
 8.00000E+01 1.02270E+02
 9.00000E+01 9.09651E+01
 1.00000E+02 7.93906E+01
 1.10000E+02 6.97892E+01
 1.20000E+02 6.25973E+01
 1.30000E+02 5.57529E+01
 1.40000E+02 4.96464E+01
 1.50000E+02 4.47821E+01
 1.60000E+02 4.01629E+01
 1.80000E+02 3.31907E+01
 2.00000E+02 2.79136E+01
