TENDL-2017 Nuclear data library
# n +  89Y    : (n,a)             Total
# Q-value    = 6.85052E-01
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-11 2.49237E-17 2.49237E-17 0.00000E+00
 2.53000E-08 4.95510E-19 4.95510E-19 0.00000E+00
 1.00000E-06 7.88157E-20 7.88157E-20 0.00000E+00
 1.00000E-05 2.49237E-20 2.49237E-20 0.00000E+00
 1.00000E-04 7.88157E-21 7.88157E-21 0.00000E+00
 2.00000E-04 5.57311E-21 5.57311E-21 0.00000E+00
 3.00000E-04 4.55043E-21 4.55043E-21 0.00000E+00
 6.00000E-04 3.21764E-21 3.21764E-21 0.00000E+00
 7.40000E-04 2.89732E-21 2.89732E-21 0.00000E+00
 1.00000E-03 3.65300E-21 3.65300E-21 0.00000E+00
 2.00000E-03 6.22810E-21 6.22810E-21 0.00000E+00
 3.00000E-03 8.50933E-21 8.50933E-21 0.00000E+00
 3.70000E-03 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E-03 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E-02 1.00000E-20 1.00000E-20 0.00000E+00
 2.00000E-02 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E-02 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E-02 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 2.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 7.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 8.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 9.00000E-01 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.20000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.40000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.60000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.80000E+00 9.27563E-16 0.00000E+00 0.00000E+00
 2.00000E+00 1.44505E-14 0.00000E+00 0.00000E+00
 2.20000E+00 1.91582E-13 0.00000E+00 0.00000E+00
 2.40000E+00 1.94232E-12 9.39373E-16 1.00000E+00
 2.60000E+00 1.69147E-11 1.84217E-14 1.00000E+00
 2.80000E+00 1.23467E-10 2.40703E-13 1.00000E+00
 3.00000E+00 7.52349E-10 2.34196E-12 1.00000E+00
 3.20000E+00 3.72889E-09 1.82040E-11 1.00000E+00
 3.40000E+00 2.56527E-08 1.14126E-10 1.00000E+00
 3.60000E+00 1.22324E-07 6.30741E-10 1.00000E+00
 3.80000E+00 2.30992E-07 3.05982E-09 1.00000E+00
 4.00000E+00 1.47343E-06 2.43051E-08 1.00000E+00
 4.20000E+00 3.13913E-06 8.95558E-08 1.00000E+00
 4.40000E+00 6.90785E-06 2.87332E-07 1.00000E+00
 4.60000E+00 2.18040E-05 1.05093E-06 1.00000E+00
 4.80000E+00 3.51873E-05 2.47033E-06 1.00000E+00
 5.00000E+00 8.72505E-05 7.13135E-06 1.00000E+00
 5.20000E+00 1.62850E-04 1.87106E-05 1.00000E+00
 5.40000E+00 2.50692E-04 3.97519E-05 1.00000E+00
 5.60000E+00 4.86325E-04 9.53492E-05 1.00000E+00
 5.80000E+00 7.38760E-04 1.92508E-04 9.99999E-01
 6.00000E+00 1.16261E-03 3.77848E-04 9.99999E-01
 6.20000E+00 1.80901E-03 7.30519E-04 9.99999E-01
 6.40000E+00 2.54050E-03 1.25806E-03 9.99999E-01
 6.60000E+00 3.88795E-03 2.18789E-03 9.99999E-01
 6.80000E+00 5.55256E-03 3.58008E-03 9.99999E-01
 7.00000E+00 8.10018E-03 5.60506E-03 9.99998E-01
 7.20000E+00 1.20146E-02 8.64355E-03 9.99998E-01
 7.40000E+00 1.63323E-02 1.26863E-02 9.99998E-01
 7.60000E+00 2.43475E-02 1.88349E-02 9.99998E-01
