#ZVView-data-copy:   4-Jan-2019 16:25:31
#=======================================
#
#name:   ENDF/B-VIII.0: Y-89(N,G)Y-90
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  10004
#data...
#            X            Y
#          MeV        barns
         1e-11       64.308
   1.10304e-11      61.2308
   1.21669e-11      58.3009
   1.34206e-11      55.5111
   1.48034e-11      52.8549
   1.63287e-11      50.3257
   1.80111e-11      47.9176
   1.98669e-11      45.6247
   2.19139e-11      43.4415
   2.41719e-11      41.3628
   2.66625e-11      39.3836
   2.94097e-11       37.499
     3.244e-11      35.7047
   3.57825e-11      33.9962
   3.94694e-11      32.3694
   4.35362e-11      30.8205
   4.80221e-11      29.3457
   5.29701e-11      27.9415
    5.8428e-11      26.6045
   6.44483e-11      25.3314
   7.10888e-11      24.1193
   7.84136e-11      22.9652
   8.64931e-11      21.8663
   9.54051e-11      20.8199
   1.05235e-10      19.8237
   1.16078e-10      18.8751
   1.28039e-10      17.9719
   1.41231e-10      17.1119
   1.55784e-10      16.2931
   1.71835e-10      15.5135
    1.8954e-10      14.7711
    2.0907e-10      14.0643
   2.30612e-10      13.3913
   2.54374e-10      12.7505
   2.80584e-10      12.1404
   3.09494e-10      11.5595
   3.41383e-10      11.0063
   3.76558e-10      10.4797
   4.15358e-10      9.97821
   4.58155e-10      9.50074
   5.05362e-10      9.04612
   5.57433e-10      8.61325
   6.14869e-10       8.2011
   6.78223e-10      7.80866
   7.48105e-10      7.43501
   8.25188e-10      7.07923
   9.10213e-10      6.74048
      1.004e-9      6.41794
    1.10745e-9      6.11083
    1.22155e-9      5.81841
    1.34742e-9      5.53999
    1.48625e-9      5.27489
    1.63939e-9      5.02248
    1.80831e-9      4.78214
    1.99463e-9      4.55331
    2.20016e-9      4.33542
    2.42685e-9      4.12796
    2.67691e-9      3.93042
    2.95273e-9      3.74234
    3.25697e-9      3.56326
    3.59256e-9      3.39274
    3.96272e-9      3.23039
    4.37103e-9       3.0758
    4.82141e-9      2.92861
    5.31819e-9      2.78847
    5.86616e-9      2.65503
    6.47059e-9      2.52798
     7.1373e-9      2.40701
    7.87271e-9      2.29184
    8.68389e-9       2.1822
    9.57865e-9      2.07782
    1.05656e-8      1.97845
    1.16543e-8      1.88385
    1.28551e-8      1.79379
    1.41796e-8      1.70804
    1.56406e-8      1.62639
    1.72522e-8       1.5486
    1.90298e-8      1.47449
    2.09906e-8      1.40389
    2.31534e-8      1.33666
    2.52419e-8      1.28017
       2.53e-8       1.2787
    2.79068e-8      1.21756
    3.07823e-8      1.15934
     3.3954e-8      1.10384
    3.74525e-8      1.05094
    4.13115e-8      1.00055
    4.55681e-8      0.95258
    5.02633e-8     0.906923
    5.54423e-8     0.863491
    6.11549e-8     0.822209
    6.74561e-8     0.782903
    7.44066e-8     0.745391
    8.20732e-8     0.709632
    9.05297e-8     0.675588
    9.98577e-8     0.643179
    1.10147e-7     0.612337
    1.21496e-7     0.583049
    1.34014e-7      0.55518
    1.47823e-7     0.528533
    1.63054e-7     0.503143
    1.79855e-7     0.478972
    1.98386e-7     0.455962
    2.18827e-7     0.434056
    2.41375e-7      0.41325
    2.68123e-7       0.3921
     2.9575e-7     0.373226
    3.26223e-7     0.355253
    3.59836e-7     0.338143
    3.96913e-7     0.321851
    4.37809e-7      0.30634
     4.8292e-7     0.291686
    5.32679e-7     0.277609
    5.87564e-7     0.264187
    6.48105e-7     0.251405
    7.14884e-7     0.239229
    7.88543e-7      0.22764
    8.69792e-7     0.216598
    9.52693e-7     0.206942
    1.04355e-6     0.197554
    1.14301e-6     0.188596
    1.25201e-6     0.180033
    1.38101e-6     0.171224
    1.52331e-6     0.162837
    1.68026e-6     0.154847
    1.85339e-6     0.147233
    2.03004e-6     0.140526
    2.23921e-6     0.133582
    2.45275e-6     0.127419
    2.68652e-6     0.121524
    2.94272e-6      0.11586
    3.24593e-6     0.110055
    3.58038e-6     0.104503
