#ZVView-data-copy:   4-Jan-2019 16:27:15
#=======================================
#
#name:   ENDF/B-VIII.0: Y-89(N,P)SR-89
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  41
#data...
#            X            Y
#          MeV        barns
             2            0
           2.2   2.49412e-7
           2.5   2.62102e-6
             3   5.68939e-5
           3.2  0.000133384
           3.5  0.000302558
           3.7  0.000469782
             4  0.000800686
           4.5   0.00116502
       4.51869   0.00119166
             5   0.00187759
           5.5   0.00224118
             6   0.00253917
           6.5   0.00292248
             7   0.00336478
           7.5   0.00376778
             8    0.0043688
           8.5   0.00504938
             9    0.0058766
           9.5   0.00717048
            10   0.00893757
          10.5    0.0107702
            11    0.0130853
          11.5    0.0151243
            12     0.017375
          12.5    0.0190861
            13     0.020558
          13.5     0.021812
            14    0.0231694
          14.5    0.0235925
            15    0.0233789
          15.5    0.0229104
            16    0.0221282
          16.5    0.0212609
            17    0.0208007
          17.5    0.0202689
            18    0.0197382
          18.5    0.0193314
            19    0.0187468
          19.5    0.0184279
            20    0.0179141
//
#-------------------------------------------------------------------------------
