TENDL-2017 Nuclear data library
# n +  90Zr: Production of  88Zr - Total
# Q-value    =-2.12863E+01 mass=  87.910220
# E-threshold= 2.15251E+01
# # energies =   120
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 1.20000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.10000E+01 0.00000E+00
 2.20000E+01 3.80516E-01
 2.30000E+01 9.18983E+00
 2.40000E+01 3.33377E+01
 2.50000E+01 8.42815E+01
 2.60000E+01 1.65078E+02
 2.70000E+01 2.59090E+02
 2.80000E+01 3.49489E+02
 2.90000E+01 4.20959E+02
 3.00000E+01 4.74022E+02
 3.20000E+01 5.29537E+02
 3.40000E+01 5.44078E+02
 3.60000E+01 5.30890E+02
 3.80000E+01 4.83313E+02
 4.00000E+01 4.10016E+02
 4.20000E+01 3.36602E+02
 4.40000E+01 2.77596E+02
 4.60000E+01 2.36805E+02
 4.80000E+01 2.09100E+02
 5.00000E+01 1.89993E+02
 5.20000E+01 1.76594E+02
 5.40000E+01 1.66260E+02
 5.60000E+01 1.57221E+02
 5.80000E+01 1.49706E+02
 6.00000E+01 1.43769E+02
 6.50000E+01 1.33055E+02
 7.00000E+01 1.24727E+02
 7.50000E+01 1.17687E+02
 8.00000E+01 1.11407E+02
 9.00000E+01 1.00329E+02
 1.00000E+02 9.12695E+01
 1.10000E+02 8.07247E+01
 1.20000E+02 7.14968E+01
 1.30000E+02 6.40820E+01
 1.40000E+02 5.73222E+01
 1.50000E+02 5.16746E+01
 1.60000E+02 4.65680E+01
 1.80000E+02 3.84108E+01
 2.00000E+02 3.25040E+01
