En (MeV)	Phi (Neut/uC MeV sr)
3.5138		5.39E+09
4.4322		5.39E+09
5.4325		6.16E+09
6.4376		7.87E+09
7.5197		1.02E+10
8.3702		1.25E+10
9.4444		1.34E+10
10.4426		1.45E+10
11.5163		1.53E+10
12.4374		1.64E+10
13.4342		1.71E+10
14.4287		1.69E+10
15.347		1.70E+10
16.4148		1.55E+10
17.4858		1.54E+10
18.5516		1.35E+10
19.543		1.23E+10
20.4531		1.01E+10
21.4425		8.84E+09
22.5074		7.57E+09
23.4978		6.78E+09
24.4835		5.44E+09
25.6287		5.09E+09
26.3056		3.82E+09
27.4508		3.57E+09
28.4405		3.16E+09
29.4264		2.54E+09
30.4167		2.27E+09
31.4849		2.10E+09
32.384		1.32E+09
33.6085		1.32E+09
